Source,Year,Nonfuel_Mineral_Economic_Inputs,Value_billion_dollars,Category_example,Category_Note
MCS2024,2024_estimated,Mineral Raw Materials: Net Exports,4.8,"Gold, Soda Ash, Zinc concentrates, and so forth",
MCS2024,2024_estimated,Mineral Raw Materials: Exports,10.6,"Gold, Soda Ash, Zinc concentrates, and so forth",
MCS2024,2024_estimated,Mineral Raw Materials: Imports,5.8,"Gold, Soda Ash, Zinc concentrates, and so forth",
MCS2024,2024_estimated,Domestically Mined Mineral Raw Materials,106,"Copper ores, Iron Ore, Sand and Gravel, Stone, and so forth",
MCS2024,2024_estimated,Domestically Recycled Metals and Mineral Products - Old Scrap,48,"Aluminum, Glass, Steel, and so forth",
MCS2024,2024_estimated,Old Scrap: Net Exports,19,"Gold, Steel, and so forth",
MCS2024,2024_estimated,Old Scrap: Exports,26,"Gold, Steel, and so forth",
MCS2024,2024_estimated,Old Scrap: Imports,8,"Gold, Steel, and so forth",
MCS2024,2024_estimated,Domestically Processed Mineral Materials: Shipments,900,"Aluminum, Brick, Cement, Copper, Fertilizers, Steel, and so forth",
MCS2024,2024_estimated,Processed Mineral Materials: Net imports,77,"Metals, Chemicals, and so forth",
MCS2024,2024_estimated,Processed Mineral Materials: Imports,178,"Metals, Chemicals, and so forth",
MCS2024,2024_estimated,Processed Mineral Materials: Exports,101,"Metals, Chemicals, and so forth",
MCS2024,2024_estimated,Value Added to Gross Domestic Product by Major Industries That Consume Processed Mineral Materials,4080,,"Major consuming industries of processed mineral materials are construction, durable goods manufacturers, and some nondurable goods manufacturers. The value of shipments for processed mineral materials cannot be directly related to gross domestic product."
MCS2023,2024_estimated,U.S. Economy Gross Domestic Product,29179,,
