Source,Import_Share_Order,Commodity,Net_Import_Reliance_pct_2024,Major_Import_Sources_2020_2023,Notes
MCS2025,1,"ARSENIC, all forms",100,"China, Morocco, Malaysia, Belgium",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,2,ASBESTOS,100,"Brazil, Russia",Descending order of import share.
MCS2025,3,CESIUM,100,"Germany, China",Descending order of import share.
MCS2025,4,FLUORSPAR,100,"Mexico, Vietnam, South Africa, China",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,5,"GALLIUM, metal",100,"Japan, China, Germany, Canada",Descending order of import share.
MCS2025,6,GRAPHITE (NATURAL),100,"China, Canada, Mexico, Mozambique",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,7,INDIUM,100,"Republic of Korea, Japan, Canada, Belgium",Descending order of import share.
MCS2025,8,MANGANESE,100,"Gabon, South Africa, Australia, Malaysia",Descending order of import share.
MCS2025,9,"MICA (NATURAL), sheet",100,"China, Brazil, India",Descending order of import share.
MCS2025,10,NIOBIUM (COLUMBIUM),100,"Brazil, Canada  ",Descending order of import share.
MCS2025,11,RUBIDIUM,100,"China, Germany, Russia",Descending order of import share.
MCS2025,12,SCANDIUM,100,"Japan, China, Philippines",Descending order of import share.
MCS2025,13,STRONTIUM,100,"Mexico, Germany",Descending order of import share.
MCS2025,14,TANTALUM,100,"China, Australia, Germany, Indonesia",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,15,"YTTRIUM, compounds",100,"China, Germany",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,16,GEMSTONES,99,"India, Israel, Belgium, South Africa",Descending order of import share.
MCS2025,17,"ABRASIVES, fused aluminum oxide",>95,"China, Canada, Brazil, Austria",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,18,NEPHELINE SYENITE,>95,Canada,Descending order of import share.
MCS2025,19,"TITANIUM, sponge metal",>95,"Japan, Kazakhstan, Saudi Arabia",Descending order of import share.
MCS2025,20,POTASH,93,"Canada, Russia, Belarus, Israel",Descending order of import share.
MCS2025,21,"BISMUTH, metal, alloys, and scrap",89,"China, Republic of Korea",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,22,"IRON OXIDE PIGMENTS, natural and synthetic",87,"China, Germany, Brazil, Canada",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,23,TITANIUM MINERAL CONCENTRATES,86,"South Africa, Madagascar, Canada, Australia",Descending order of import share.
MCS2025,24,"ANTIMONY, metal and oxide",85,"China, Belgium, India, Bolivia",Descending order of import share. Imports from Hong Kong are included with China
MCS2025,25,PLATINUM,85,"South Africa, Belgium, Germany, Italy",Descending order of import share.
